Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,154.9,148,162
Hispanic,Female,98.8,94.4,103.2
Asian and Pacific Islander Non-Hispanic,Male,116.4,97,138.3
Asian and Pacific Islander Non-Hispanic,Female,70.2,57.3,85.3
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,185.3,175.9,195.1
Black Non-Hispanic,Female,146,139.5,152.6
White Non-Hispanic,Male,180.5,169.1,192.6
White Non-Hispanic,Female,140.5,130.8,150.9
