Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,138.7,130.5,147.3
Hispanic,Female,97.7,92.2,103.5
Asian and Pacific Islander Non-Hispanic,Male,135.8,127,145
Asian and Pacific Islander Non-Hispanic,Female,83.2,76.9,89.9
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,168.4,162.1,174.9
Black Non-Hispanic,Female,127.5,123.3,131.8
White Non-Hispanic,Male,144.9,140.1,149.9
White Non-Hispanic,Female,117.7,113.7,121.7
