Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,128.9,121.7,136.5
Hispanic,Female,86.6,81.8,91.6
Asian and Pacific Islander Non-Hispanic,Male,119.7,109.8,130.3
Asian and Pacific Islander Non-Hispanic,Female,78.1,71.3,85.4
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,225.3,211.9,239.4
Black Non-Hispanic,Female,169,159.9,178.5
White Non-Hispanic,Male,117.4,113.1,121.9
White Non-Hispanic,Female,100.8,97.1,104.7
