Area,Cancer Type,Year,Race,Sex,Age-Adjusted Rate,lci,uci,Death Count,Population
Queens County New York,All Types of Cancer,2015-2019,Hispanic,Male,108.4,102,115,1219,1593543
Queens County New York,All Types of Cancer,2015-2019,Hispanic,Female,76.7,72.4,81.2,1207,1583380
Queens County New York,All Types of Cancer,2015-2019,Asian and Pacific Islander Non-Hispanic,Male,108.8,103.4,114.4,1643,1501716
Queens County New York,All Types of Cancer,2015-2019,Asian and Pacific Islander Non-Hispanic,Female,78.5,74.4,82.8,1413,1608003
Queens County New York,All Types of Cancer,2015-2019,American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
Queens County New York,All Types of Cancer,2015-2019,American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
Queens County New York,All Types of Cancer,2015-2019,Black Non-Hispanic,Male,159.8,151.6,168.4,1513,959838
Queens County New York,All Types of Cancer,2015-2019,Black Non-Hispanic,Female,127,121.4,132.9,1969,1149498
Queens County New York,All Types of Cancer,2015-2019,White Non-Hispanic,Male,161.6,156.3,167.1,3680,1466450
Queens County New York,All Types of Cancer,2015-2019,White Non-Hispanic,Female,131,126.5,135.6,3870,1517641
