Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,108.4,102,115
Hispanic,Female,76.7,72.4,81.2
Asian and Pacific Islander Non-Hispanic,Male,108.8,103.4,114.4
Asian and Pacific Islander Non-Hispanic,Female,78.5,74.4,82.8
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,159.8,151.6,168.4
Black Non-Hispanic,Female,127,121.4,132.9
White Non-Hispanic,Male,161.6,156.3,167.1
White Non-Hispanic,Female,131,126.5,135.6
