Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,121.1,100.7,144
Hispanic,Female,82.6,69.1,97.8
Asian and Pacific Islander Non-Hispanic,Male,101.9,82.6,124.4
Asian and Pacific Islander Non-Hispanic,Female,65.8,52.4,81.7
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,176.2,146,210.5
Black Non-Hispanic,Female,133.8,113.5,156.6
White Non-Hispanic,Male,175.5,167,184.5
White Non-Hispanic,Female,137.7,131,144.7
