Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,42.7,38.3,47.4
Hispanic,Female,30.7,27.7,33.9
Asian and Pacific Islander Non-Hispanic,Male,80.1,73.6,87.1
Asian and Pacific Islander Non-Hispanic,Female,46.1,41.5,51
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,48.3,45,51.7
Black Non-Hispanic,Female,30.9,28.9,33.1
White Non-Hispanic,Male,59.3,56.2,62.5
White Non-Hispanic,Female,41.1,38.8,43.5
