Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,20.9,18,24.1
Hispanic,Female,12.1,10.4,14.1
Asian and Pacific Islander Non-Hispanic,Male,32.7,27.7,38.5
Asian and Pacific Islander Non-Hispanic,Female,14.5,11.7,17.8
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,49.1,43,55.8
Black Non-Hispanic,Female,32,28.2,36.3
White Non-Hispanic,Male,19.4,17.7,21.3
White Non-Hispanic,Female,21.3,19.7,23
