Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,57.8,44.1,74
Hispanic,Female,42.3,32.6,53.9
Asian and Pacific Islander Non-Hispanic,Male,68.3,53,86.7
Asian and Pacific Islander Non-Hispanic,Female,36,26.5,47.9
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,65.1,48.1,86
Black Non-Hispanic,Female,55.6,43.3,70.4
White Non-Hispanic,Male,73.1,67.7,78.8
White Non-Hispanic,Female,68,63.4,73
