Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,468.6,457.2,480.1
Hispanic,Female,356,347.9,364.3
Asian and Pacific Islander Non-Hispanic,Male,352.9,320.9,387.2
Asian and Pacific Islander Non-Hispanic,Female,326.3,298.7,355.8
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,548.2,532.8,564
Black Non-Hispanic,Female,430.6,419.3,442.1
White Non-Hispanic,Male,539.4,518.5,561
White Non-Hispanic,Female,496,474.9,517.8
