Area,Cancer Type,Year,Race,Sex,Age-Adjusted Rate,lci,uci,Case Count,Population
Bronx County New York,All Types of Cancer,2015-2019,Hispanic,Male,468.6,457.2,480.1,6965,1887877
Bronx County New York,All Types of Cancer,2015-2019,Hispanic,Female,356,347.9,364.3,7387,2118719
Bronx County New York,All Types of Cancer,2015-2019,Asian and Pacific Islander Non-Hispanic,Male,352.9,320.9,387.2,486,142528
Bronx County New York,All Types of Cancer,2015-2019,Asian and Pacific Islander Non-Hispanic,Female,326.3,298.7,355.8,533,152498
Bronx County New York,All Types of Cancer,2015-2019,American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
Bronx County New York,All Types of Cancer,2015-2019,American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
Bronx County New York,All Types of Cancer,2015-2019,Black Non-Hispanic,Male,548.2,532.8,564,5292,1002737
Bronx County New York,All Types of Cancer,2015-2019,Black Non-Hispanic,Female,430.6,419.3,442.1,5736,1154694
Bronx County New York,All Types of Cancer,2015-2019,White Non-Hispanic,Male,539.4,518.5,561,2800,336817
Bronx County New York,All Types of Cancer,2015-2019,White Non-Hispanic,Female,496,474.9,517.8,2828,352007
