Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,426.9,413.2,440.8
Hispanic,Female,373.8,363,384.8
Asian and Pacific Islander Non-Hispanic,Male,425.6,410.6,440.9
Asian and Pacific Islander Non-Hispanic,Female,371.3,358.3,384.6
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,505.1,494.6,515.8
Black Non-Hispanic,Female,378.3,370.9,385.9
White Non-Hispanic,Male,497.4,488.4,506.6
White Non-Hispanic,Female,473.4,464.9,481.9
