Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,437.8,424.5,451.3
Hispanic,Female,342.5,332.4,352.8
Asian and Pacific Islander Non-Hispanic,Male,377.8,360,396.2
Asian and Pacific Islander Non-Hispanic,Female,359.6,344.5,375.2
American Indian and Alaska Native Non-Hispanic,Male,221.9,124.9,362.9
American Indian and Alaska Native Non-Hispanic,Female,184,107,296
Black Non-Hispanic,Male,584.3,563.4,605.9
Black Non-Hispanic,Female,452,436.4,468
White Non-Hispanic,Male,489.7,480.5,498.9
White Non-Hispanic,Female,471.1,462.3,480
