Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,384.7,373.5,396.1
Hispanic,Female,358.3,349,367.8
Asian and Pacific Islander Non-Hispanic,Male,360.9,351.3,370.6
Asian and Pacific Islander Non-Hispanic,Female,363.9,355.1,372.9
American Indian and Alaska Native Non-Hispanic,Male,85.8,53.7,130.2
American Indian and Alaska Native Non-Hispanic,Female,89.1,56.9,132.7
Black Non-Hispanic,Male,495.8,481.9,509.9
Black Non-Hispanic,Female,378.5,368.4,388.9
White Non-Hispanic,Male,513.7,503.8,523.7
White Non-Hispanic,Female,475.4,465.8,485.3
