Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,521.7,480.7,565.1
Hispanic,Female,500.4,467.2,535.2
Asian and Pacific Islander Non-Hispanic,Male,366.9,331.6,405.1
Asian and Pacific Islander Non-Hispanic,Female,319.3,289.3,351.8
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,612.6,559.4,669.4
Black Non-Hispanic,Female,436.6,399.9,475.6
White Non-Hispanic,Male,588,572.3,604.2
White Non-Hispanic,Female,539.5,525,554.3
