Area,Cancer Type,Year,Race,Sex,Age-Adjusted Rate,lci,uci,Case Count,Population
Richmond County New York,All Types of Cancer,2015-2019,Hispanic,Male,521.7,480.7,565.1,731,214336
Richmond County New York,All Types of Cancer,2015-2019,Hispanic,Female,500.4,467.2,535.2,912,220959
Richmond County New York,All Types of Cancer,2015-2019,Asian and Pacific Islander Non-Hispanic,Male,366.9,331.6,405.1,451,110925
Richmond County New York,All Types of Cancer,2015-2019,Asian and Pacific Islander Non-Hispanic,Female,319.3,289.3,351.8,441,117798
Richmond County New York,All Types of Cancer,2015-2019,American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
Richmond County New York,All Types of Cancer,2015-2019,American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
Richmond County New York,All Types of Cancer,2015-2019,Black Non-Hispanic,Male,612.6,559.4,669.4,572,110158
Richmond County New York,All Types of Cancer,2015-2019,Black Non-Hispanic,Female,436.6,399.9,475.6,552,125707
Richmond County New York,All Types of Cancer,2015-2019,White Non-Hispanic,Male,588,572.3,604.2,5640,713555
Richmond County New York,All Types of Cancer,2015-2019,White Non-Hispanic,Female,539.5,525,554.3,5902,756853
