Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,4.6,3.5,5.9
Hispanic,Female,1.2,0.8,1.8
Asian and Pacific Islander Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Asian and Pacific Islander Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,3.3,2.2,4.7
Black Non-Hispanic,Female,1.6,0.9,2.4
White Non-Hispanic,Male,5.1,3.3,7.7
White Non-Hispanic,Female,2.5,1.3,4.5
