Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,15.2,12.9,17.9
Hispanic,Female,5.3,4.1,6.8
Asian and Pacific Islander Non-Hispanic,Male,17,13.4,21.3
Asian and Pacific Islander Non-Hispanic,Female,8.2,6.1,11
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,14.1,11,17.8
Black Non-Hispanic,Female,6.6,4.8,8.9
White Non-Hispanic,Male,18.5,16.7,20.3
White Non-Hispanic,Female,7.1,6.1,8.3
