Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Asian and Pacific Islander Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Asian and Pacific Islander Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,3.9,2.3,6.1
Black Non-Hispanic,Female,2.3,1.3,3.8
White Non-Hispanic,Male,2.9,2.3,3.7
White Non-Hispanic,Female,1,0.7,1.5
