Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,9.5,7.9,11.4
Hispanic,Female,4.6,3.6,5.8
Asian and Pacific Islander Non-Hispanic,Male,13.1,11.4,15
Asian and Pacific Islander Non-Hispanic,Female,7.7,6.5,9.2
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,9.8,8,12
Black Non-Hispanic,Female,5.3,4.2,6.8
White Non-Hispanic,Male,14.8,13.2,16.6
White Non-Hispanic,Female,6.9,5.8,8.2
