Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Asian and Pacific Islander Non-Hispanic,Male,2.8,2.1,3.8
Asian and Pacific Islander Non-Hispanic,Female,1.2,0.7,1.8
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
White Non-Hispanic,Male,3.4,2.7,4.3
White Non-Hispanic,Female,1.4,0.9,2
