Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Asian and Pacific Islander Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Asian and Pacific Islander Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
White Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
White Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
