Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,15.3,13.2,17.6
Hispanic,Female,10.4,9,11.9
Asian and Pacific Islander Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Asian and Pacific Islander Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Female,14.2,12.3,16.4
Black Non-Hispanic,Male,18.7,15.9,21.8
White Non-Hispanic,Female,9.7,7.3,12.8
White Non-Hispanic,Male,18.2,14.7,22.5
