Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,10.2,8.5,12.2
Hispanic,Female,6.6,5.5,7.9
Asian and Pacific Islander Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Asian and Pacific Islander Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,13.9,11.5,16.7
Black Non-Hispanic,Female,11.4,9.7,13.4
White Non-Hispanic,Male,12.6,9.8,16.1
White Non-Hispanic,Female,9.3,7.1,12.3
