Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,14.6,12.1,17.4
Hispanic,Female,11.5,9.7,13.5
Asian and Pacific Islander Non-Hispanic,Male,12.2,9.8,15.1
Asian and Pacific Islander Non-Hispanic,Female,9,7,11.4
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,15.4,13.6,17.4
Black Non-Hispanic,Female,12.8,11.5,14.2
White Non-Hispanic,Male,16.6,15,18.4
White Non-Hispanic,Female,13.6,12.3,15
