Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,10.2,8.1,12.6
Hispanic,Female,7.7,6.2,9.4
Asian and Pacific Islander Non-Hispanic,Male,7.3,5.4,9.7
Asian and Pacific Islander Non-Hispanic,Female,7.8,5.9,10.1
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,11.5,9.9,13.2
Black Non-Hispanic,Female,9.8,8.7,11.1
White Non-Hispanic,Male,13.4,11.9,14.9
White Non-Hispanic,Female,9.3,8.2,10.4
