Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,13.5,11.2,16
Hispanic,Female,9.5,8,11.3
Asian and Pacific Islander Non-Hispanic,Male,9.6,7,13
Asian and Pacific Islander Non-Hispanic,Female,10.5,8.1,13.4
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,22.7,18.6,27.3
Black Non-Hispanic,Female,16.5,13.8,19.7
White Non-Hispanic,Male,15.3,13.7,17
White Non-Hispanic,Female,11,9.8,12.4
