Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,9.1,7.3,11.3
Hispanic,Female,8,6.6,9.7
Asian and Pacific Islander Non-Hispanic,Male,6.4,4.3,9.2
Asian and Pacific Islander Non-Hispanic,Female,6.7,4.8,9.1
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,16.1,12.7,20.1
Black Non-Hispanic,Female,15.4,12.8,18.5
White Non-Hispanic,Male,12.2,10.8,13.7
White Non-Hispanic,Female,8.1,7.1,9.2
