Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,12.7,10.6,15
Hispanic,Female,11.4,9.8,13.3
Asian and Pacific Islander Non-Hispanic,Male,11.9,10.2,13.8
Asian and Pacific Islander Non-Hispanic,Female,9.8,8.4,11.4
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,14.1,11.7,16.7
Black Non-Hispanic,Female,13,11.3,15
White Non-Hispanic,Male,15.7,14.1,17.5
White Non-Hispanic,Female,12.6,11.3,14.1
