Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,8.2,6.5,10.1
Hispanic,Female,7.1,5.8,8.6
Asian and Pacific Islander Non-Hispanic,Male,7.2,5.9,8.7
Asian and Pacific Islander Non-Hispanic,Female,7.1,5.9,8.5
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,12.2,10,14.7
Black Non-Hispanic,Female,9.5,8,11.1
White Non-Hispanic,Male,12.9,11.5,14.6
White Non-Hispanic,Female,10.1,9,11.4
