Race,Sex,Age-Adjusted Rate,lci,uci
Hispanic,Male,24.1,15.7,35
Hispanic,Female,15.2,9.8,22.5
Asian and Pacific Islander Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Asian and Pacific Islander Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
American Indian and Alaska Native Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Male,Data Suppressed,Data Suppressed,Data Suppressed
Black Non-Hispanic,Female,Data Suppressed,Data Suppressed,Data Suppressed
White Non-Hispanic,Male,17.4,14.8,20.4
White Non-Hispanic,Female,14.9,12.8,17.3
