Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,8.7,6.7,11.0,8.8,6.8,10.8
2005,8.6,6.5,11.1,8.4,6.5,10.5
2006,9.2,7.0,11.6,8.8,6.7,11.1
2007,9.6,7.4,11.9,9.3,7.2,11.5
2008,8.9,7.2,10.9,8.6,6.9,10.5
2009,10.6,8.6,12.8,10.1,8.2,12.0
2010,10.5,8.0,13.2,9.5,7.5,11.7
2011,10.5,8.9,12.3,10.2,8.6,11.8
2012,11.3,9.3,13.3,11.1,9.0,13.1
2013,12.2,10.1,14.8,11.9,10.0,14.1
2014,12.9,10.8,15.3,12.9,11.1,15.1
2015,12.8,10.5,15.1,12.4,10.7,14.4
2016,14.0,11.9,15.9,13.6,11.9,15.6
2017,12.3,10.3,14.3,12.1,10.5,13.9
2018,13.1,11.3,15.2,12.6,10.8,14.4
2019,12.4,10.7,14.2,11.7,10.1,13.4
2020,11.8,10.2,13.7,11.2,9.6,12.9
