Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,7.7,6.2,9.5,7.9,6.5,9.5
2005,8.1,6.4,9.9,7.4,5.9,8.9
2006,8.2,6.8,9.5,7.9,6.5,9.2
2007,8.7,7.3,10.1,8.5,7.2,9.9
2008,8.0,6.7,9.4,7.8,6.6,9.2
2009,9.2,7.6,10.7,8.8,7.3,10.3
2010,10.3,8.5,12.3,9.9,8.5,11.6
2011,10.5,8.6,12.6,10.2,8.3,12.2
2012,10.0,8.5,11.7,9.9,8.3,11.4
2013,10.1,8.5,11.8,10.9,9.5,12.4
2014,10.1,8.8,11.7,10.4,9.1,12.0
2015,9.9,8.5,11.5,10.0,8.7,11.2
2016,9.5,8.2,10.8,9.9,8.8,11.0
2017,9.1,7.8,10.5,9.8,8.5,11.1
2018,9.8,8.4,11.0,9.1,8.0,10.3
2019,9.0,7.8,10.2,8.8,7.7,9.9
2020,9.7,8.5,11.0,8.8,7.6,9.9
