Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,5.8,4.5,7.1,5.6,4.5,7.0
2005,5.9,4.7,7.4,5.7,4.6,6.9
2006,5.7,4.6,7.0,5.2,4.2,6.4
2007,5.8,4.6,6.9,5.4,4.2,6.5
2008,5.7,4.8,6.6,5.3,4.4,6.1
2009,7.6,6.4,8.9,7.0,5.8,8.2
2010,7.7,6.4,9.2,7.0,5.8,8.2
2011,8.1,6.6,9.7,7.5,6.1,9.0
2012,7.5,6.3,8.7,7.1,5.9,8.2
2013,6.1,5.0,7.3,6.4,5.5,7.6
2014,7.0,5.9,8.1,6.7,5.8,7.7
2015,6.6,5.6,7.8,6.2,5.3,7.3
2016,7.2,6.2,8.3,6.7,5.8,7.8
2017,6.6,5.5,7.7,6.4,5.6,7.4
2018,7.1,5.9,8.3,6.2,5.3,7.3
2019,6.8,5.8,7.9,6.2,5.3,7.2
2020,6.8,5.7,7.9,6.3,5.3,7.3
