Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,7.1,5.7,8.9,6.7,5.3,8.3
2005,8.1,6.2,9.8,7.0,5.6,8.5
2006,7.5,6.0,9.0,7.1,5.7,8.4
2007,7.8,6.3,9.4,7.5,6.0,9.0
2008,8.5,7.2,10.1,8.1,6.8,9.6
2009,8.9,7.5,10.5,8.4,7.0,9.9
2010,9.4,7.8,11.3,8.6,7.2,10.2
2011,9.2,7.5,11.3,8.8,7.1,10.8
2012,10.1,8.5,11.8,9.8,8.2,11.5
2013,11.0,9.4,12.8,10.4,8.9,12.0
2014,10.6,9.0,12.1,10.2,8.8,11.6
2015,10.3,8.7,11.9,9.6,8.2,11.0
2016,10.7,9.3,12.2,9.5,8.3,10.7
2017,11.1,9.7,12.6,9.3,7.9,10.7
2018,11.4,10.1,13.0,9.9,8.6,11.2
2019,11.7,10.3,13.2,10.8,9.5,12.3
2020,11.1,9.6,12.7,10.4,9.1,11.9
