Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,6.9,5.1,9.2,6.4,4.7,8.5
2005,6.6,4.6,9.2,6.0,4.2,8.2
2006,7.4,5.3,9.9,6.4,4.6,8.7
2007,8.0,5.6,10.6,7.0,4.9,9.3
2008,8.5,6.2,10.7,7.4,5.4,9.4
2009,9.2,7.0,11.7,8.0,6.2,10.3
2010,9.0,6.6,11.9,7.9,5.9,10.2
2011,9.0,6.8,11.7,8.0,5.9,10.3
2012,10.1,7.8,13.0,9.0,7.0,11.7
2013,8.8,6.6,11.5,7.7,5.8,9.8
2014,9.1,7.0,11.7,8.1,6.0,10.4
2015,9.9,7.6,12.6,8.5,6.4,10.6
2016,10.1,8.3,12.1,8.7,7.2,10.3
2017,10.4,8.4,12.6,8.7,7.0,10.5
2018,11.0,9.1,13.0,8.8,7.2,10.5
2019,10.4,8.5,12.2,9.2,7.5,11.0
2020,9.3,7.4,11.2,8.1,6.4,9.9
