Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,22.6,19.0,26.6,25.4,21.9,29.4
2005,20.9,16.7,25.6,24.1,20.1,28.5
2006,21.4,16.9,26.4,24.2,19.8,29.4
2007,26.8,21.6,32.4,29.1,24.2,34.4
2008,24.0,18.9,29.5,25.3,20.9,30.1
2009,28.9,23.4,35.2,30.5,25.4,36.4
2010,26.1,21.9,30.5,28.5,24.7,32.5
2011,24.6,21.9,27.3,26.9,24.1,29.8
2012,24.0,21.4,26.4,26.1,23.3,28.6
2013,31.2,28.4,33.9,31.2,28.4,33.9
2014,29.6,26.1,33.4,32.6,29.5,35.8
2015,28.7,25.8,31.5,31.0,28.1,33.8
2016,28.7,25.4,31.9,30.9,28.1,33.9
2017,29.1,24.7,33.9,32.2,28.0,37.0
2018,27.9,24.5,31.4,31.2,28.0,34.5
2019,26.1,21.9,30.2,33.0,28.6,37.6
2020,27.0,23.5,30.7,31.8,28.2,35.3
