Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,26.3,22.1,31.2,32.4,28.4,36.9
2005,15.6,12.5,19.1,19.3,16.0,23.1
2006,26.9,22.1,31.4,33.1,28.7,37.8
2007,25.6,20.9,30.6,33.2,28.5,38.2
2008,28.3,23.3,33.7,34.2,29.4,39.1
2009,26.5,21.9,31.9,33.0,28.2,38.2
2010,27.3,23.4,31.8,31.8,28.0,35.8
2011,22.1,18.6,25.7,26.3,22.8,30.1
2012,18.8,16.7,21.3,23.2,20.6,26.0
2013,27.8,24.2,31.9,30.8,27.6,34.2
2014,29.5,25.9,33.3,33.7,30.0,37.4
2015,28.7,25.0,32.6,34.9,31.7,38.8
2016,28.7,25.6,32.0,35.5,32.2,38.6
2017,30.8,28.3,33.5,35.5,32.8,38.4
2018,27.5,24.5,30.5,31.9,28.8,35.0
2019,28.6,25.4,32.0,31.8,28.4,35.1
2020,28.5,25.4,31.8,31.4,27.8,34.8
