Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,21.3,18.0,24.4,24.1,21.1,27.2
2005,20.8,17.8,24.1,24.6,21.4,28.0
2006,22.0,18.5,26.0,24.7,21.3,28.2
2007,24.5,20.3,28.6,26.9,22.9,31.1
2008,23.2,19.5,27.2,26.1,22.7,29.4
2009,20.5,16.7,24.3,24.1,20.6,27.9
2010,22.1,19.1,25.4,26.2,23.0,29.3
2011,23.3,20.0,26.8,25.3,21.9,28.9
2012,23.1,18.7,27.6,24.9,20.3,29.7
2013,24.2,22.2,26.3,24.2,22.2,26.3
2014,22.3,20.0,24.9,23.2,20.9,25.5
2015,21.3,19.4,23.4,23.1,21.0,25.3
2016,21.0,18.8,23.3,23.9,21.7,26.0
2017,22.1,19.3,25.0,24.0,21.5,26.8
2018,22.7,20.6,24.8,24.9,22.8,26.9
2019,23.0,20.0,26.2,25.2,22.3,28.5
2020,22.0,19.9,24.4,25.6,23.3,27.9
