Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,26.6,23.4,29.9,32.8,29.7,36.1
2005,14.9,7.8,23.7,18.7,10.4,28.9
2006,27.2,23.4,31.5,32.6,29.0,36.2
2007,26.4,22.8,30.5,32.8,29.4,36.5
2008,25.4,22.1,29.2,31.2,28.0,34.8
2009,23.6,19.8,27.4,29.7,26.3,33.6
2010,23.3,20.2,26.3,29.7,27.0,32.6
2011,23.3,19.8,27.3,28.6,24.9,32.5
2012,21.1,17.5,24.8,25.8,21.6,30.0
2013,23.8,21.0,26.5,27.4,24.8,30.1
2014,24.4,21.9,26.9,27.7,25.4,30.2
2015,23.9,21.4,26.7,29.5,26.9,31.9
2016,23.7,21.5,25.7,27.2,25.0,29.5
2017,23.6,21.7,25.6,27.5,25.4,29.7
2018,21.2,19.4,23.1,25.7,23.6,27.6
2019,21.8,19.6,24.1,27.1,24.8,29.4
2020,21.6,19.7,23.7,26.4,24.2,28.4
