Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,13.8,11.6,16.6,14.2,11.8,16.6
2005,12.9,10.4,15.5,13.5,11.3,15.9
2006,14.5,11.7,17.6,14.9,12.4,17.7
2007,14.7,11.9,17.7,15.4,12.7,18.4
2008,15.2,12.3,18.2,14.9,12.3,17.7
2009,16.2,13.1,19.6,17.3,14.5,20.3
2010,14.3,12.0,16.8,16.2,13.8,18.5
2011,16.5,13.8,19.2,16.8,14.1,19.6
2012,16.0,12.5,19.6,16.3,12.7,20.0
2013,15.9,14.3,17.5,15.9,14.3,17.5
2014,14.6,12.7,16.7,16.6,14.6,18.5
2015,17.4,15.6,19.4,17.7,16.0,19.8
2016,15.6,13.6,17.7,16.5,14.6,18.7
2017,13.2,10.9,15.6,15.8,13.1,18.4
2018,16.9,14.9,19.2,17.3,15.4,19.3
2019,18.3,15.4,21.5,19.3,16.3,22.3
2020,16.5,14.4,18.7,18.2,16.1,20.6
