Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,17.5,14.7,20.5,18.4,15.7,21.7
2005,19.1,15.4,22.9,19.0,15.7,22.3
2006,19.9,16.3,23.5,19.7,16.4,23.3
2007,24.1,20.0,28.4,23.4,20.0,27.5
2008,22.8,19.0,27.0,23.5,19.8,27.5
2009,21.2,17.4,25.1,23.1,19.4,27.0
2010,20.6,17.6,24.0,22.7,19.7,25.9
2011,20.6,17.0,24.4,22.4,18.7,26.3
2012,19.9,16.0,24.5,21.5,17.3,26.4
2013,24.0,21.8,26.2,24.0,21.8,26.2
2014,21.7,19.2,24.6,24.8,22.3,27.5
2015,23.2,20.8,25.6,25.0,22.5,27.6
2016,22.2,19.7,24.6,23.0,20.6,25.6
2017,22.8,19.3,25.9,23.4,20.3,26.8
2018,23.7,21.4,26.1,25.8,23.5,28.4
2019,23.6,20.5,27.2,25.4,21.9,29.0
2020,24.0,21.4,26.6,25.5,22.8,28.2
