Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,23.8,20.5,27.6,28.9,25.8,32.7
2005,15.3,8.8,24.6,19.0,11.1,30.7
2006,27.8,24.1,31.8,32.4,28.9,36.2
2007,25.2,21.8,29.0,29.1,25.6,32.8
2008,25.1,21.7,28.6,30.4,26.7,33.9
2009,25.8,22.1,29.6,30.8,26.8,34.9
2010,24.0,21.0,27.1,31.0,27.7,33.9
2011,24.2,20.5,28.4,29.7,25.7,34.0
2012,21.4,17.2,25.6,26.0,21.4,30.8
2013,25.8,22.9,29.1,30.4,27.5,33.4
2014,25.8,22.9,28.7,29.7,26.9,32.5
2015,27.2,24.1,30.2,30.2,27.3,32.9
2016,25.4,22.7,28.0,28.4,25.9,31.2
2017,26.7,24.6,28.9,30.9,28.6,33.4
2018,24.8,22.5,27.0,29.6,27.1,31.9
2019,25.9,23.6,28.4,29.7,27.1,32.4
2020,24.7,22.4,27.1,30.5,27.9,33.0
