Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,23.0,17.8,28.8,22.0,17.5,27.3
2005,21.1,15.8,27.2,20.9,15.9,26.3
2006,24.9,18.6,31.5,23.2,17.4,29.2
2007,23.9,18.1,31.0,21.6,16.5,27.6
2008,23.8,17.9,30.1,23.4,17.9,29.4
2009,26.7,20.1,33.8,25.1,18.7,32.0
2010,29.8,24.4,35.8,26.9,21.6,32.3
2011,27.0,21.5,33.3,26.1,20.8,32.1
2012,23.4,17.4,30.3,22.6,16.6,29.5
2013,25.9,21.7,30.3,25.9,21.7,30.3
2014,29.8,24.9,35.8,26.7,22.1,31.6
2015,26.6,22.2,31.3,25.9,21.6,30.6
2016,27.4,23.4,31.8,25.0,21.7,28.7
2017,27.5,22.6,33.3,26.8,21.8,32.4
2018,29.4,25.1,33.4,28.8,24.8,32.7
2019,28.5,23.3,34.5,29.6,24.8,34.8
2020,30.1,26.0,34.6,28.7,24.7,32.6
