Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit
2004,20.3,15.6,26.1,24.7,19.6,30.5
2005,15.0,8.3,24.9,18.3,10.2,29.8
2006,20.4,15.3,26.1,24.6,19.3,30.5
2007,19.9,15.0,25.5,23.9,18.7,29.5
2008,25.0,19.9,31.0,30.2,24.8,36.7
2009,23.7,18.0,30.8,27.2,21.2,34.0
2010,24.2,19.5,29.8,28.3,23.4,33.6
2011,22.2,16.4,28.3,25.3,19.2,31.8
2012,18.0,13.4,23.5,21.0,15.7,27.0
2013,29.8,24.7,35.3,32.6,27.7,38.1
2014,25.5,20.6,30.4,28.0,23.4,32.9
2015,25.3,20.5,30.3,29.3,24.1,34.5
2016,24.7,21.0,28.7,29.0,25.3,33.0
2017,23.5,20.5,26.8,26.1,22.9,29.7
2018,22.0,18.6,25.5,25.1,21.8,28.7
2019,24.0,20.4,28.0,27.2,23.6,31.4
2020,22.5,19.0,26.1,26.2,22.7,29.8
