Borough,Market Name,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Location Point
Brooklyn,Teens for Food Justice Fresh Food Box & Farmstand at Brownsville Collaborative Middle School,40.670986,-73.908194,Tuesday,4-6pm,Year-round,"(40.670986, -73.908194)"
Manhattan,Morningside Park's Down to Earth Farmers' Market,40.801155,-73.959647,Saturday,9am-4pm (winter closes at 3pm),Year-Round,"(40.801155, -73.959647)"
Bronx,170 Farm Stand,40.839882,-73.916783,Wednesday,2:30pm-6:30pm,8/12/20-11/25/20,"(40.839882, -73.916783)"
Manhattan,Fulton Stall Market,40.705799,-74.002572,Sunday,11am-5pm,04/26/2020-11/22/2020,"(40.705799, -74.002572)"
Queens,Corona Greenmarket,40.749811,-73.861668,Friday,8am - 3pm,6/19 to 11/27,"(40.749811, -73.861668)"
Bronx,Eastchester Farmstand,40.88503,-73.843146,Thursday,9:30am-3pm,07/16-11/19,"(40.88503, -73.843146)"
Queens,Far Rockaway Farmstand,40.595612,-73.776551,Saturday,10am-2pm,07/11/2020-11/21/2020,"(40.595612, -73.776551)"
Bronx,Harvest Home Mt. Eden Farmers' Market,40.842924,-73.909558,"Tuesday
Thursday",8am-4pm,6/9/2020-11/24/2020,"(40.842924, -73.909558)"
Brooklyn,McCarren Park Greenmarket,40.719219,-73.952479,Saturday,8am - 2pm,Year-Round,"(40.719219, -73.952479)"
Brooklyn,Edible Schoolyard NYC's Farm Stand at PS 216,40.590649,-73.969298,Friday,1:45pm-2:45pm,Tentative,"(40.590649, -73.969298)"
Bronx,St. Barnabas Hospital Farm Stand & C.S.A.,40.853237,-73.891742,Wednesday,10 a.m. - 5 p.m.,09/01/2020-11/20/2020,"(40.853237, -73.891742)"
Brooklyn,Carroll Gardens Greenmarket,40.68106,-73.996528,Sunday,8am - 2pm,Year-Round,"(40.68106, -73.996528)"
Bronx,Teens for Food Justice Fresh Food Box & Farmstand at Dewitt Clinton Educational Campus,40.882178,-73.88691,Thursday,4-6pm,Year-round,"(40.882178, -73.88691)"
Brooklyn,Isabahlia Farm Stand,40.667554,-73.910207,Friday & Saturday,"(F) 9am - 4pm
(S) 9am-3pm",06/29/2020-10/31/2020,"(40.667554, -73.910207)"
Bronx,La Familia Verde Farmers' Market,40.846487,-73.894337,Tuesday,8am-2pm,07/07/2020-11/17/2020,"(40.846487, -73.894337)"
Manhattan,Tompkins Square Greenmarket,40.726054,-73.983534,Sunday,9am - 5pm,Year-Round,"(40.726054, -73.983534)"
Queens,Jackson Heights Greenmarket,40.753435,-73.887822,Sunday,8am - 2pm,Year-Round,"(40.753435, -73.887822)"
Bronx,Norwood Farmstand,40.88222,-73.880458,Thursday,10am-5pm,Year-Round,"(40.88222, -73.880458)"
Brooklyn,Grand Army Plaza Greenmarket,40.663812,-73.962866,Saturday,8am-4pm,Year-Round,"(40.663812, -73.962866)"
Manhattan,Hamilton Heights Green Youthmarket,40.82394,-73.948552,Wednesday,11am-6pm,06/24/2020-11/25/2020,"(40.82394, -73.948552)"
Brooklyn,McGolrick Park's Down to Earth Farmers's Market,40.725617,-73.944497,Sunday,10am - 3pm,3/01/2020-12/20/20,"(40.725617, -73.944497)"
Manhattan,175th Street Greenmarket,40.845948,-73.937811,Thursday,8am - 4pm,6/25 to 11/19,"(40.845948, -73.937811)"
Brooklyn,6th Ave Sunset Park Greenmarket,40.647132,-74.004623,Saturday,8am-3pm,Year-round,"(40.647132, -74.004623)"
Manhattan,Rockefeller Center Greenmarket,40.759065,-73.97845,"Wednesday 
Thursday
Friday",8am - 5pm,7/15 to 8/21; 9/30 to 10/23,"(40.759065, -73.97845)"
Queens,Flushing Greenmarket,40.756357,-73.825773,Wednesday,8am - 3pm,7/8 to 11/25,"(40.756357, -73.825773)"
Manhattan,Columbia University Greenmarket,40.806707,-73.964849,"Thursday
Sunday",8am-4pm,Year-Round (Closed 07/04/19 & 11/28/19- open 11/26/19),"(40.806707, -73.964849)"
Brooklyn,RB Bushwick Farmers' Market at Maria Hernandez Park,40.702811,-73.92539,Saturday,9am-4pm,6/20/2020 - November unclear date,"(40.702811, -73.92539)"
Queens,Socrates Sculpture Garden,40.768504,-73.921724,Saturday,10am-2pm,05/02/2020-10/31/2020,"(40.768504, -73.921724)"
Manhattan,Go!Healthy Farm Stand at Mirabal Sisters Campus,40.839305,-73.936159,Friday,11am-2pm,07/07/2020-11/20/20,"(40.839305, -73.936159)"
Queens,Sunnyside Greenmarket,40.746999,-73.921724,Saturday,8am - 2pm,Year-Round,"(40.746999, -73.921724)"
Queens,Cunningham Park's Down to Earth Farmers' Market,40.731082,-73.773997,Sunday,9am-2pm,05/10/2020-11/22/2020,"(40.731082, -73.773997)"
Bronx,Bissel Gardens Farmers Market,40.90152,-73.846937,Saturday,10am-5pm,8/1/20-11/21/20,"(40.90152, -73.846937)"
Manhattan,79th Street Greenmarket,40.781274,-73.975995,Sunday,9am - 5pm,Year-Round,"(40.781274, -73.975995)"
Bronx,Fordham Plaza Greenmarket,40.86153,-73.891063,Friday,8am-4pm,7/10 to 11/20,"(40.86153, -73.891063)"
Brooklyn,Red Hook Farm Stand,40.672524,-74.00871,Saturday,10am-3pm,06/20/2020-11/21/2020,"(40.672524, -74.00871)"
Queens,Ditmars Park Farmstand,40.772854,-73.906061,Saturday,9:30am-2pm,07/11/20-11/21/20 (estimate),"(40.772854, -73.906061)"
Manhattan,Dag Hammarskjold Plaza Greenmarket,40.752999,-73.969887,Wednesday,8am-4pm,Year-Round (Closed 09/26/19 & 11/25/19),"(40.752999, -73.969887)"
Manhattan,Mount Sinai Hospital Greenmarket,40.789169,-73.952743,Wednesday,8am-5pm,6/10 to 11/25,"(40.789169, -73.952743)"
Brooklyn,4th Ave Sunset Park Greenmarket,40.641435,-74.017815,Saturday,8am - 3pm,7/11 to 11/21,"(40.641435, -74.017815)"
Brooklyn,Cortelyou Greenmarket,40.640825,-73.965301,Sunday,8am - 3pm,Year-Round,"(40.640825, -73.965301)"
Brooklyn,Urban Oasis Farmers' Market,40.656255,-73.936608,Wednesday,2pm-5:30pm,06/24/2020-11/04/2020,"(40.656255, -73.936608)"
Bronx,Parkchester Greenmarket,40.833992,-73.862148,Friday,8am - 4pm,6/12 to 11/27,"(40.833992, -73.862148)"
Queens,The Laurelton Farmers Market,40.668918,-73.751335,Saturday-Sunday,10am-2pm,8/15/2020-10/31/20,"(40.668918, -73.751335)"
Brooklyn,Borough Park Greenmarket,40.633696,-73.989916,Thursday,8am - 3pm,7/2 to 10/08,"(40.633696, -73.989916)"
Manhattan,Greenmarket at Oculus Plaza,40.711535,-74.010464,Tuesday,7am-7pm,Year-Round (Temporarily Closed due to COVID),"(40.711535, -74.010464)"
Brooklyn,Seeds in the Middle Fresh Food Box / Farmstand - Brownsville,40.667377,-73.908214,Friday,2pm-4:30pm,6/12/20-9/30/20,"(40.667377, -73.908214)"
Manhattan,Harvest Home Metropolitan Farmers' Market,40.78712,-73.947923,Friday,8am-4pm,6/17/2020-11/20/2020,"(40.78712, -73.947923)"
Bronx,Harvest Home Jacobi Hospital Farmers' Market,40.857427,-73.847079,Friday,8am-4pm,7/10/2020-11/19/2020,"(40.857427, -73.847079)"
Brooklyn,Isabahlia Farm Stand Winter Market,40.657984,-73.901764,Saturday,8am-1pm,11/07/2020-12/19/2020,"(40.657984, -73.901764)"
Manhattan,Stuyvesant Town Greenmarket,40.730443,-73.980339,Sunday,9:30am - 4pm,5/17 to 12/20,"(40.730443, -73.980339)"
Queens,Guy R Brewer Boulevard Farmers Market at NYC Health + Hospitals/Queens,40.688615,-73.785593,Tuesday,8am-4pm,TBD,"(40.688615, -73.785593)"
Manhattan,97th Street Greenmarket,40.793558,-73.967016,Friday,8am - 2pm,Year-Round,"(40.793558, -73.967016)"
Manhattan,Harvest Home Lenox Ave Farm Stand,40.802699,-73.949186,Saturday,8am-4pm,6/27/2020-11/21/2020,"(40.802699, -73.949186)"
Bronx,Kingsbridge-Riverdale Farmers' Market,40.880038,-73.907005,Sunday,9am-5pm,July,"(40.880038, -73.907005)"
Queens,Queens County Farm Museum Farm Stand at Jamaica Hospital,40.702445,-73.816861,Friday,10am-3pm,7/15/2020-11/23/2020,"(40.702445, -73.816861)"
Brooklyn,East New York Farmers' Market,40.665296,-73.886557,Saturday,9am-3pm,06/27/2020-11/14/2020,"(40.665296, -73.886557)"
Staten Island,Goodhue Center Go!Healthy Farm Stand,40.638983,-74.097422,Tuesday,11am-2pm,07/06/2020-11/20/2020,"(40.638983, -74.097422)"
Manhattan,57th Street Greenmarket,40.769117,-73.988559,"Wednesday
Saturday",8am-5pm,6/6 to 11/25,"(40.769117, -73.988559)"
Queens,Queens County Farm Museum Farm Stand,40.748163,-73.719431,"Wednesday, Thursday, Friday; Saturday and Sunday",11am-3pm (weekends); 11am-5pm,7/8/2020– 11/1/2020),"(40.748163, -73.719431)"
Manhattan,PS 57 Farmstand,40.797261,-73.940519,Wednesday,9am-4pm,07/01/20-11/18/20 estimate,"(40.797261, -73.940519)"
Bronx,Bronx Borough Hall Greenmarket,40.826835,-73.922621,Tuesday,8am-4pm,6/2 to 11/24,"(40.826835, -73.922621)"
Brooklyn,Bensonhurst Greenmarket,40.609951,-73.999456,Sunday,9am - 4pm,5/31 to 11/29,"(40.609951, -73.999456)"
Brooklyn,Brooklyn Borough Hall Greenmarket,40.693722,-73.990455,"Tuesday 
Thursday
Saturday",8am - 5pm,Year-Round (Thursday temporarily closed for COVID),"(40.693722, -73.990455)"
Brooklyn,Graham Avenue Farmers' Market,40.702345,-73.942381,Saturday,9am-5pm,8/8/2020-10/31/2020,"(40.702345, -73.942381)"
Brooklyn,Saratoga Farm Stand,40.678562,-0.000079703981596,Saturday,9am-2pm,07/11/2020-11/21/2020,"(40.678562, -0.000079703981596)"
Bronx,Morning Glory Market at the New York Botanical Gardens,40.865684,-73.883312,Wednesday,10am-3pm,July 2020-10/28/2020,"(40.865684, -73.883312)"
Bronx,Poe Park Greenmarket,40.864216,-73.895795,Tuesday,8am - 3pm,6/30 to 11/24,"(40.864216, -73.895795)"
Brooklyn,Fort Greene Park Greenmarket,40.691707,-73.973539,Saturday,8am - 3pm,Year-Round,"(40.691707, -73.973539)"
Brooklyn,Project EATS Rockaway Farm Stand & CSA pickup,40.662555,-73.90892,Friday,8 a.m. - 5 p.m.,09/01/2020-11/20/2020,"(40.662555, -73.90892)"
Queens,Edgemere Farm Market,40.59129,-73.802314,Saturday & Sunday,9am-2pm,Year-Round,"(40.59129, -73.802314)"
Bronx,"Whitney Young, Jr. Campus Go!Healthy Food Box",40.843546,-73.889755,Thursday,12 - 2p.m.,07/06/2020-11/20/2020,"(40.843546, -73.889755)"
