Store Name,Borough,Latitude,Longitude,NTA
SIRAH 1720 LLC,Brooklyn,40.696961,-73.949512,Bedford
FIRST STOP GROCERY INC,Brooklyn,40.692552,-73.948632,Bedford
AANDE DIRECT LLC,Brooklyn,40.696576,-73.937777,Stuyvesant Heights
CENTRAL ORGANIC,Brooklyn,40.701096,-73.930445,Bushwick South
194 THROOP FOOD CORP,Brooklyn,40.698191,-73.944311,Bedford
BROADWAY ORGANIC DELI INC,Brooklyn,40.699745,-73.940176,Bushwick South
MLD 91 FOOD CORP,Brooklyn,40.704472,-73.941009,East Williamsburg
GRAHAM STOP ONE DELI INC,Brooklyn,40.70643,-73.943045,Bushwick South
BOGOPA MANHATTAN INC,Brooklyn,40.702939,-73.944235,East Williamsburg
LEE HEYWARD GROCERY INC,Brooklyn,40.701855,-73.955636,Bedford
164 TOMPKIN DELI,Brooklyn,,,
J A TOMPKINS FOOD CORP,Brooklyn,40.695814,-73.945344,Bedford
JRM DELI GROCERY CORP,Brooklyn,40.695505,-73.940544,Stuyvesant Heights
AFS MARKET INC,Brooklyn,40.696817,-73.936605,Stuyvesant Heights
GREEN CORNER OF NY LLC,Brooklyn,40.701019,-73.940705,East Williamsburg
726 MEAT MARKET INC,Brooklyn,40.701171,-73.942667,Bedford
711 BROOKLYN DELI CORP,Brooklyn,40.700485,-73.943959,Bedford
THE LUNCH BOX DELI CORP,Brooklyn,40.708767,-73.940031,Bushwick South
PAULA MARKET AND DELI CORP,Brooklyn,40.711173,-73.942114,East Williamsburg
SEM SEM DELI CORP,Brooklyn,40.704022,-73.940926,East Williamsburg
LORIMER DELI FOOD CORP,Brooklyn,40.708821,-73.948497,East Williamsburg
ORANGE TREE ORGANIC MARKET CORP,Brooklyn,40.705994,-73.942995,East Williamsburg
128 T EDGECOMBE DELI CORP,New York,40.820961,-73.945071,Central Harlem North-Polo Grounds
135 FUTURE LANDM CORP,New York,40.813209,-73.938756,Central Harlem North-Polo Grounds
135TH STREET DELI AND GROCERY CORP,New York,40.816056,-73.945505,Central Harlem North-Polo Grounds
141 FINEST DELI CORP,New York,40.820958,-73.945375,Central Harlem North-Polo Grounds
2278 DELI AND GROCERY INC,New York,40.814546,-73.944268,Central Harlem North-Polo Grounds
477 FOOD CORP,New York,40.813274,-73.94148,Central Harlem North-Polo Grounds
ADAM 1 FOOD CENTER INC,New York,40.820741,-73.943464,Central Harlem North-Polo Grounds
BIG APPLE GRILL DELI INC,New York,40.814873,-73.940311,Central Harlem North-Polo Grounds
EL PATIO DELI CORP,New York,40.809627,-73.93782,Central Harlem North-Polo Grounds
ESAYI CORP,New York,40.820418,-73.939952,Central Harlem North-Polo Grounds
FUNFAIR DELI CORP,New York,40.815499,-73.939852,Central Harlem North-Polo Grounds
GOLDEN DELI GROCERY CORP,New York,40.812473,-73.937835,Central Harlem North-Polo Grounds
HARLEM EMPIRE DELI INC,New York,40.815938,-73.94518,Central Harlem North-Polo Grounds
JANET FOOD CORP,New York,40.819764,-73.944155,Central Harlem North-Polo Grounds
K AND S DELI CORP,New York,40.811888,-73.942496,Central Harlem North-Polo Grounds
LENOX AND 132ND FOOD CORP,New York,40.812396,-73.942095,Central Harlem North-Polo Grounds
LINCOLN DELI GROCERY INC 1,New York,40.809959,-73.937238,Central Harlem North-Polo Grounds
MANDS FOOD CORP,New York,40.821167,-73.939431,Central Harlem North-Polo Grounds
MR 2497 FOOD CORP,New York,40.821482,-73.939178,Central Harlem North-Polo Grounds
NUNEZ DOMINGO,New York,40.818518,-73.945088,Central Harlem North-Polo Grounds
RIMAR GOURMET DELI INC,New York,40.819097,-73.944665,Central Harlem North-Polo Grounds
ROSANNA FOOD CORP,New York,40.817088,-73.938669,Central Harlem North-Polo Grounds
1029 FOOD PLAZA INC,Bronx,40.854853,-73.903444,Mount Hope
109 AJ DELI GROCERY CORP,Bronx,40.850673,-73.907372,Mount Hope
48 BURNSIDE FOOD CORP,Bronx,40.853839,-73.909077,University Heights-Morris Heights
58 BURNSIDE FOOD CORP,Bronx,40.854163,-73.909767,University Heights-Morris Heights
65 BURNSIDE MEAT MARKET CORP,Bronx,40.853367,-73.906146,Mount Hope
ALEX FOOD II CORP,Bronx,40.847317,-73.919933,University Heights-Morris Heights
BONAO MEATS AND PRODUCE II INC,Bronx,40.853268,-73.905933,Mount Hope
BURNSIDE AVE FOOD CENTER INC,Bronx,40.853059,-73.905344,Mount Hope
CRUZ MEAT CORP,Bronx,40.85815,-73.904025,Fordham South
GANDA DELI GROCERY CORP,Bronx,40.850025,-73.913756,University Heights-Morris Heights
GAVA FOOD CORP,Bronx,40.853829,-73.913899,University Heights-Morris Heights
JD DELI AND PIZZA INC,Bronx,40.857217,-73.904601,Fordham South
JESSICA SUPERMARKET CORP,Bronx,40.846985,-73.91513,University Heights-Morris Heights
JULIAN GROCERY CORP,Bronx,40.853898,-73.91434,University Heights-Morris Heights
LA GRAN FAMOSA FOOD MARKET CORP,Bronx,40.848507,-73.914025,University Heights-Morris Heights
LA PODEROSA GROCERY STORE CORP,Bronx,40.847498,-73.911887,Mount Hope
LOS COMPADRES - 1 GROCERY INC,Bronx,40.848468,-73.913122,University Heights-Morris Heights
LOS PINOS FOOD CORP,Bronx,40.852452,-73.904629,Mount Hope
MORRIS BEST DELI AND GRILL INC,Bronx,40.858583,-73.903355,Fordham South
MY FAMILY DELI GROCERY CORP,Bronx,40.855271,-73.904564,Mount Hope
PALMAR MINI MARKET INC,Bronx,40.855644,-73.904491,Fordham South
PAN DELI GROCERY CORP,Bronx,40.85362,-73.913889,University Heights-Morris Heights
PRIMAVERA DELI GROCERY CORP,Bronx,40.853301,-73.905973,Mount Hope
PUNAL GROCERY CORP,Bronx,40.85208,-73.91718,University Heights-Morris Heights
RAYKELL FOOD CORP,Bronx,40.859277,-73.906546,University Heights-Morris Heights
SABOR CRIOLLO GROCERY CORP,Bronx,40.848022,-73.907336,Mount Hope
TEAMS MARKET INC,Bronx,40.848015,-73.909931,Mount Hope
THREE TIMES C FOOD CORP,Bronx,40.849338,-73.917089,University Heights-Morris Heights
TRES K DELI GRCY FRUITANDMEAT INC,Bronx,40.850041,-73.913619,University Heights-Morris Heights
VILLA TRINA FOOD CORP,Bronx,40.858247,-73.902387,Fordham South
Rivas Deli Grocery,Bronx,40.852568,-73.887484,Belmont
C-Town,Bronx,40.837267,-73.888016,Crotona Park East
La India Mini Market,Bronx,40.842942,-73.887136,East Tremont
Los Hermanos,Bronx,40.842391,-73.881835,East Tremont
Price Choice Food Market,Bronx,40.846173,-73.884871,East Tremont
D&A Deli Grocery,Bronx,40.839889,-73.875193,East Tremont
Lucky Star Gourmet Deli,Bronx,,,
Food Choice,Bronx,40.858274,-73.896071,Bedford Park-Fordham North
Cache Grocery,Bronx,40.844534,-73.887046,East Tremont
Associated Supermarket,Bronx,40.831441,-73.892279,Crotona Park East
AZ Deli,Bronx,40.825924,-73.89193,Hunts Point
Price Choice Food Market,Bronx,,,
Key Foods,Bronx,,,
Pioneer Supermarket,Bronx,,,
Compare Foods,Bronx,,,
Met Supermarket,Bronx,,,
EEJ Deli,Bronx,40.856355,-73.889094,Belmont
Santana,Bronx,40.85817,-73.892869,Claremont-Bathgate
FineFare,Bronx,40.834232,-73.89488,Crotona Park East
Deli Grocery,Bronx,40.863691,-73.894244,Bedford Park-Fordham North
965 Castillo Meat and Produce,Bronx,40.833364,-73.887683,Crotona Park East
Santos,Bronx,40.864814,-73.892048,Bedford Park-Fordham North
