"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","DisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"861336","2018","2018","2018","NY","New York","BRFSS","","Alcohol","Binge drinking prevalence among adults aged >= 18 years","","%","AGEADJPREV","Age-adjusted Prevalence","20.7","","","19.6","21.8","-75.54397042699964","42.82700103200045","","ALC","ALC2_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","35","","","",""
"861180","2018","2018","2018","NY","New York","BRFSS","","Alcohol","Binge drinking prevalence among adults aged >= 18 years","","%","AGEADJPREV","Age-adjusted Prevalence","13.0","","","11.1","15.0","-75.54397042699964","42.82700103200045","","ALC","ALC2_2","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","35","","","",""
"861182","2018","2018","2018","NY","New York","BRFSS","","Alcohol","Binge drinking prevalence among adults aged >= 18 years","","%","AGEADJPREV","Age-adjusted Prevalence","15.5","","","13.8","17.4","-75.54397042699964","42.82700103200045","","ALC","ALC2_2","","Race/Ethnicity","RACE","Hispanic","HIS","","","","","","","","","35","","","",""
"861122","2018","2018","2018","NY","New York","BRFSS","","Alcohol","Binge drinking prevalence among adults aged >= 18 years","","%","AGEADJPREV","Age-adjusted Prevalence","10.6","","","8.4","13.4","-75.54397042699964","42.82700103200045","","ALC","ALC2_2","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","35","","","",""
"861049","2018","2018","2018","NY","New York","BRFSS","","Alcohol","Binge drinking prevalence among adults aged >= 18 years","","%","AGEADJPREV","Age-adjusted Prevalence","13.5","","","10.1","17.7","-75.54397042699964","42.82700103200045","","ALC","ALC2_2","","Race/Ethnicity","RACE","Multiracial, non-Hispanic","MRC","","","","","","","","","35","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Indicator Definition","http://www.cdc.gov/cdi/definitions/alcohol.html#ALC2_2","Indicator Definition"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BRFSS","http://www.cdc.gov/brfss","Data Source"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Number","","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Prevalence","","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Age-adjusted Prevalence","","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Crude Rate","","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Age-adjusted Rate","","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mean","","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Adjusted Mean","","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Packs Sold per Capita","","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CI","","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Centers for Disease Control and Prevention, National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health. Chronic Disease Indicators (CDI) Data [online]. ","http://nccd.cdc.gov/cdi","Suggested Citation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CDI MMWR R&R","http://www.cdc.gov/mmwr/preview/mmwrhtml/rr6401a1.htm?s_cid=rr6401a1_w","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","data.gov ","http://www.data.gov/","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CDC","http://www.cdc.gov","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","National Center for Chronic Disease Prevention and Health Promotion ","http://www.cdc.gov/chronicdisease/about/","Related Links"
